Limpieza dental, 2024-08-20, Limpieza profunda de dientes
Corte de pelo, 2024-08-22, Corte de pelo y arreglo general
Vacunacion, 2024-08-23, Vacuna anual contra la rabia
Desparasitacion, 2024-08-25, Desparasitacion interna y externa
Bano, 2024-08-28, Bano completo con shampoo especial
Consulta veterinaria, 2024-08-30, Consulta general y chequeo de salud
Limpieza de oidos, 2024-09-01, Limpieza de oidos y revision de infecciones
Control de peso, 2024-09-03, Evaluacion del peso y recomendaciones dieteticas
Cirugia de esterilizacion, 2024-09-05, Esterilizacion de la mascota
Corte de unas, 2024-09-07, Corte de unas para evitar lesiones
Radiografia, 2024-09-10, Radiografia para evaluacion interna
Extraccion de garrapatas, 2024-09-12, Eliminacion de garrapatas
Limpieza de glandulas, 2024-09-15, Limpieza de glandulas anales
Ecografia, 2024-09-17, Ecografia para diagnostico de salud
Desinfeccion de piel, 2024-09-20, Tratamiento para desinfeccion de la piel
Analisis de sangre, 2024-09-22, Examen completo de sangre
Consulta dermatologica, 2024-09-25, Revision de problemas en la piel
Tratamiento dental, 2024-09-27, Tratamiento para problemas dentales
Vacunacion multiple, 2024-09-29, Vacunacion contra varias enfermedades
Consulta de comportamiento, 2024-10-01, Evaluacion del comportamiento de la mascota
Bano antipulgas, 2024-10-03, Bano con productos especiales contra pulgas
Profilaxis dental, 2024-10-05, Limpieza y eliminacion de sarro
Consulta de emergencia, 2024-10-07, Atencion medica de emergencia
Tratamiento antipulgas, 2024-10-10, Aplicacion de tratamiento antipulgas
Chequeo post-operatorio, 2024-10-12, Revision despues de cirugia
Vacunacion contra parvovirus, 2024-10-15, Vacuna para prevenir el parvovirus
Bano medicado, 2024-10-17, Bano con productos medicados
Examen de orina, 2024-10-20, Analisis de orina para detectar infecciones
Consulta nutricional, 2024-10-22, Asesoria sobre dieta y nutricion
Rehabilitacion fisica, 2024-10-25, Terapia fisica para recuperacion de lesiones
